RunId,iteration,Step,N,opinion_update_prob,high,low
0,0,35,10,0.2,1,9
1,0,1,10,0.5,1,9
2,0,3,10,0.8,1,9
3,0,25,20,0.2,19,1
4,0,30,20,0.5,2,18
5,0,7,20,0.8,19,1
6,0,30,30,0.2,1,29
7,0,15,30,0.5,1,29
8,0,2,30,0.8,3,27
9,0,62,40,0.2,39,1
10,0,11,40,0.5,1,39
11,0,9,40,0.8,2,38
12,1,41,10,0.2,1,9
13,1,13,10,0.5,9,1
14,1,4,10,0.8,2,8
15,1,45,20,0.2,19,1
16,1,7,20,0.5,19,1
17,1,8,20,0.8,19,1
18,1,18,30,0.2,1,29
19,1,13,30,0.5,29,1
20,1,6,30,0.8,2,28
21,1,27,40,0.2,1,39
22,1,18,40,0.5,39,1
23,1,16,40,0.8,1,39
24,2,10,10,0.2,2,8
25,2,1,10,0.5,9,1
26,2,1,10,0.8,9,1
27,2,18,20,0.2,19,1
28,2,18,20,0.5,18,2
29,2,7,20,0.8,1,19
30,2,32,30,0.2,29,1
31,2,10,30,0.5,1,29
32,2,13,30,0.8,29,1
33,2,26,40,0.2,1,39
34,2,10,40,0.5,1,39
35,2,4,40,0.8,35,5
36,3,7,10,0.2,9,1
37,3,1,10,0.5,1,9
38,3,0,10,0.8,6,4
39,3,43,20,0.2,19,1
40,3,10,20,0.5,19,1
41,3,3,20,0.8,1,19
42,3,31,30,0.2,1,29
43,3,6,30,0.5,1,29
44,3,16,30,0.8,29,1
45,3,44,40,0.2,39,1
46,3,13,40,0.5,37,3
47,3,10,40,0.8,39,1
48,4,7,10,0.2,9,1
49,4,2,10,0.5,9,1
50,4,2,10,0.8,1,9
51,4,41,20,0.2,19,1
52,4,10,20,0.5,1,19
53,4,3,20,0.8,1,19
54,4,23,30,0.2,1,29
55,4,10,30,0.5,29,1
56,4,5,30,0.8,1,29
57,4,46,40,0.2,1,39
58,4,17,40,0.5,39,1
59,4,14,40,0.8,2,38
60,5,20,10,0.2,9,1
61,5,3,10,0.5,9,1
62,5,9,10,0.8,7,3
63,5,15,20,0.2,19,1
64,5,2,20,0.5,1,19
65,5,2,20,0.8,19,1
66,5,27,30,0.2,27,3
67,5,9,30,0.5,29,1
68,5,3,30,0.8,29,1
69,5,55,40,0.2,1,39
70,5,12,40,0.5,39,1
71,5,7,40,0.8,1,39
72,6,19,10,0.2,1,9
73,6,3,10,0.5,9,1
74,6,9,10,0.8,9,1
75,6,18,20,0.2,19,1
76,6,6,20,0.5,19,1
77,6,6,20,0.8,1,19
78,6,87,30,0.2,1,29
79,6,8,30,0.5,28,2
80,6,7,30,0.8,1,29
81,6,85,40,0.2,39,1
82,6,12,40,0.5,1,39
83,6,8,40,0.8,1,39
84,7,5,10,0.2,9,1
85,7,2,10,0.5,1,9
86,7,2,10,0.8,3,7
87,7,11,20,0.2,19,1
88,7,5,20,0.5,19,1
89,7,2,20,0.8,1,19
90,7,27,30,0.2,29,1
91,7,16,30,0.5,1,29
92,7,3,30,0.8,29,1
93,7,16,40,0.2,38,2
94,7,31,40,0.5,38,2
95,7,3,40,0.8,1,39
96,8,14,10,0.2,9,1
97,8,14,10,0.5,1,9
98,8,2,10,0.8,8,2
99,8,37,20,0.2,1,19
100,8,15,20,0.5,1,19
101,8,4,20,0.8,17,3
102,8,23,30,0.2,1,29
103,8,9,30,0.5,1,29
104,8,10,30,0.8,3,27
105,8,76,40,0.2,1,39
106,8,11,40,0.5,1,39
107,8,4,40,0.8,38,2
108,9,22,10,0.2,1,9
109,9,1,10,0.5,8,2
110,9,2,10,0.8,9,1
111,9,41,20,0.2,19,1
112,9,7,20,0.5,19,1
113,9,3,20,0.8,18,2
114,9,28,30,0.2,2,28
115,9,4,30,0.5,2,28
116,9,1,30,0.8,3,27
117,9,42,40,0.2,39,1
118,9,34,40,0.5,39,1
119,9,7,40,0.8,1,39
